Name,"General Government Breakdown,Consolidation effort,Net lending / net borrowing,[SK, GG, n, annual, mil. Eur], CBR"
1993,
1994,
1995,-657.829779990705
1996,-2133.88937429463
1997,-1505.93531328421
1998,-1396.05734129987
1999,-2086.91998858129
2000,-3824.40302536016
2001,-2205.33811750647
2002,-3024.19841094071
2003,-1127.33150912833
2004,-1065.32598917878
2005,-1387.44005722632
2006,-1745.49373239063
2007,-1114.78479003519
2008,-1396.9871580298
2009,-5022.055
2010,-5046.619
2011,-3499.366
2012,-3230.10270797777
2013,-2175.00146
2014,-2144.362
2015,-2042.17899999999
2016,-1253.07799999999
,
