Name,"Unemployment, NAIRU,UPSVAR unemployment, SA,registered unemployment rate,[SK, sa, %], UPSVAR, NBS calculations","Unemployment, NAIRU,UPSVAR unemployment, SA,number of unemployed persons,[SK, sa, thousands], UPSVAR, NBS calculations","Unemployment, NAIRU,UPSVAR unemployment, SA,number of disposable unemployed persons,[SK, sa, thousands], UPSVAR, NBS calculations","Unemployment, NAIRU,LFS unemployed heads and rate, SA,Unemployment rate,[SK, sa, %], SO SR (LFS)","Unemployment, NAIRU,LFS unemployed heads and rate, SA,Unemployed persons,[SK, sa, thousands], SO SR (LFS)","Unemployment, NAIRU,LFS unemployment rate, NSA, age,15-19 years,[SK, nsa, %], SO SR (LFS)","Unemployment, NAIRU,LFS unemployment rate, NSA, age,20-24 years,[SK, nsa, %], SO SR (LFS)","Unemployment, NAIRU,LFS unemployment rate, NSA, age,25-29 years,[SK, nsa, %], SO SR (LFS)","Unemployment, NAIRU,LFS unemployment rate, NSA, age,30-34 years,[SK, nsa, %], SO SR (LFS)","Unemployment, NAIRU,LFS unemployment rate, NSA, age,35-39 years,[SK, nsa, %], SO SR (LFS)"
1Q1993,,,,,,,,,,
2Q1993,,,,,,,,,,
3Q1993,,,,,,,,,,
4Q1993,,,,,,,,,,
1Q1994,,,,,,45.1,20.1,15.4,13.3,10.6
2Q1994,,,,,,41.1,19.7,15.4,12.8,11.6
3Q1994,,,,,,47.6,19.3,15.8,12.1,10.2
4Q1994,,,,,,46.4,19.3,16.2,14,11.6
1Q1995,,,,13.7690663650806,338.655022525195,43.9,20.4,18.1,12.9,12.5
2Q1995,,,,13.4007889878048,331.089958842586,41.5,18.2,16.7,12.3,12.4
3Q1995,,,,12.6606099818388,312.332509585772,42.9,16.4,16.2,11.9,10.9
4Q1995,,,,12.5857884757497,312.722509046448,43.3,15.9,15.2,12.2,10.8
1Q1996,,,,11.7146923842415,292.82047671573,43.7,15.7,14.9,13.2,11.2
2Q1996,,,,11.3176168778648,283.377618821192,37.9,14.6,13.8,12.7,10.1
3Q1996,,,,11.1016824785737,279.355623316327,43.6,13.3,13.2,12,9.9
4Q1996,,,,11.1796146328568,281.346281146752,41.7,13,12.6,12.6,9.2
1Q1997,,344.384082113009,,11.4879349622252,288.201405672594,39.5,15.6,14.8,13.8,9.3
2Q1997,,340.087037731174,,11.6193460127313,290.684708037993,35.4,14.7,13.7,13.2,8.6
3Q1997,,349.060824875127,,12.171503841842,304.547532347015,39.5,16.9,12.3,13.5,9.1
4Q1997,,355.373888740911,,12.2512098930789,306.366353942398,36.8,16.6,12.2,13,9.5
1Q1998,13.0911187108574,364.311464674922,341.260591666502,12.1745671476033,305.328888894083,37.4,18,12.6,14.3,9.6
2Q1998,13.7544761173224,381.129932938905,358.553058873972,12.2860539906511,309.155980722313,35.1,17.7,11.4,13.8,9.5
3Q1998,14.4227465053901,403.351255406249,375.973598177159,12.9325197202917,325.978268696765,42.9,18.2,12.3,13.4,10
4Q1998,15.4893771636682,427.334920346096,403.778632840219,13.0249938338809,327.936861686839,44,18.1,11.6,13.3,10.1
1Q1999,16.205148409401,455.796327682491,431.438740986591,14.8637066729962,377.981591482854,50.8,23.5,15.4,15.5,13.3
2Q1999,17.5670143486753,493.725537195467,467.696460532817,15.971685340717,406.022823458632,48.8,24.5,16.5,16.1,13.2
3Q1999,18.7943051726125,526.94316196279,500.371311421358,16.9295006029967,432.095351312052,59.7,25.4,17.7,15.1,13.6
4Q1999,19.3174570814375,539.642479918533,514.299477655075,17.6377322407894,451.200233746461,62.4,24.2,18.2,16.5,14.6
1Q2000,19.1639119880306,544.151462482378,516.397288159548,18.5130414827068,478.071230119649,59.9,28.1,19.8,17.9,17.5
2Q2000,19.5588626039768,554.717093607745,527.039761740045,19.0338814998514,491.729549938109,57.5,29.2,19.2,18.4,17
3Q2000,18.5485880963582,528.818062499481,499.816561364421,18.8430592023609,487.520952274479,61.5,28.2,18.5,17.6,16.1
4Q2000,17.7431447475747,504.849682133574,478.112811037363,18.6383224164013,483.578267667762,58.5,28.7,18.4,15.3,15.9
1Q2001,19.1989060422587,545.222541278646,517.667975168898,19.3049049268659,505.902827376615,55.2,32.5,20.5,17.4,17.6
2Q2001,18.5874923650917,529.274770448343,501.182177511838,19.3813954510717,510.978932082511,55.9,31.9,19.9,17.9,15.8
3Q2001,18.5567099966035,531.206657929124,500.35217988952,19.327248820893,509.615788321226,67,31.5,19,17.8,15.3
4Q2001,18.7043847269016,537.522373918712,504.333994189187,19.1964305424506,505.402452219649,60.8,31,18.4,18,14.3
1Q2002,19.0123277582665,545.418282782901,514.279663395557,18.8553136663452,492.976417114752,56.3,32.9,19.3,17.2,16
2Q2002,18.5846702624444,535.284504358447,502.711613665068,18.7471173810901,489.14525710766,52.4,32.8,16.9,17.1,15.8
3Q2002,18.0475140539246,521.398599025517,488.18164565585,18.5616074579167,484.622353837631,59.7,31.2,16.4,16.9,15.4
4Q2002,17.6022043399488,509.740995242742,476.136106954747,18.3475672051099,480.855971939957,54.7,30.6,16.9,16.6,15.4
1Q2003,16.5804672675066,480.856934099479,440.13198551409,17.7974382750522,465.723485748662,54.4,29.5,17.4,17.7,16.8
2Q2003,15.6586135548845,458.068834517957,415.661185123256,17.1495330439423,450.25834637013,55,27.8,15.8,15.8,14.7
3Q2003,15.0743292954888,442.298795968594,400.151236757902,17.3240748913296,454.982607489185,63.3,27.4,16.6,15.7,13.6
4Q2003,15.1076339155469,442.413265095473,401.035314891315,17.7334419509994,465.735560392024,54.8,26.5,18.2,16,14.4
1Q2004,15.9117619729502,450.064150170555,416.635803146405,18.7099734193522,494.998429400706,54.3,29.5,18.9,17.2,16.7
2Q2004,15.222849849629,434.140442712402,398.597231661666,18.5871263606536,492.782874214338,53.1,28.8,18,16.2,16.5
3Q2004,14.1332962818599,409.280607862376,370.068208505698,17.7982196278542,472.969591302281,54.8,29.1,16.5,15,15.1
4Q2004,13.3168271161213,388.419853070269,348.689665564317,17.4392138211488,462.149105082675,59,27.4,16.7,15.1,14
1Q2005,12.5938472013076,366.039791233783,325.795774543396,16.9536377973312,448.287229791858,57.9,27.6,17.7,15.5,14.7
2Q2005,11.5979731483005,339.15446061769,300.033070481571,16.3119989629245,429.414632302283,60.5,24.2,17.2,15.7,15
3Q2005,11.2192151294191,329.127259599413,290.234812637599,15.8783002960131,419.409162836267,65.9,25.6,15.6,14,14.6
4Q2005,11.17645282507,327.809850460836,289.12857577098,15.5362395188186,412.688975069593,64,25.6,14.7,13.5,13.6
1Q2006,11.1956757352566,323.994061830452,286.45782132987,14.4697627334048,384.668850886848,59.5,25.5,13.6,13.7,13.6
2Q2006,10.7626864289474,309.06520084589,275.379153433671,13.5608439309765,360.886127431336,53.8,22.9,12,11.8,13.2
3Q2006,10.087810644651,289.995516942696,258.111464425043,12.9685334540029,344.212942997248,59.7,22.3,11.8,10.3,12.2
4Q2006,9.42421873233245,273.565742140995,241.132489868262,12.2384043403861,323.732078684569,51.1,19.3,12.2,10.5,10.9
1Q2007,8.80494371588167,261.348045183938,228.980749929158,11.1517222485415,293.950317712959,45.4,17,12,10.5,10.1
2Q2007,8.45619193490175,252.041780184062,219.91113552562,11.1395499679009,293.810932574991,42.7,16.1,11.2,10.9,8.9
3Q2007,8.38052290243234,249.039543321495,217.943291964052,11.2752801921777,299.604994142848,52.3,17.6,11.3,10.3,8.9
4Q2007,8.06597425416297,241.112943454048,209.763161835564,10.5044853451686,280.033755569201,42.9,16.6,10.3,9.3,8.7
1Q2008,7.50257715920921,226.448194108277,195.726632723277,10.1252027260991,271.300303593281,41.9,16.1,11.5,8.8,9.2
2Q2008,7.44109758072649,224.637771134678,194.122758398186,10.1537809016227,272.411887405832,39.1,17,10.8,9.9,9.1
3Q2008,7.56292047590599,229.535325579642,197.300864341797,9.11170951875309,246.893172833986,43.4,15.9,10.2,8,8.3
4Q2008,8.10275458598862,241.443280186934,211.384013418904,8.88255746465321,239.194636166901,40.3,15.5,10.4,8.4,7.1
1Q2009,9.40717930211338,281.117017007412,249.290063362418,10.1568483293131,272.16110150169,41.8,20,12.7,9.1,9.6
2Q2009,11.3753518949416,338.257622874032,301.446597708916,11.3643154396991,305.307708172325,47.7,23,13,10.1,9.6
3Q2009,12.2693158811474,363.26694770369,325.136625464088,12.7091938170724,342.765810955025,61.7,25.5,14.2,11,9.8
4Q2009,12.6617622153307,377.65357733867,335.536445471019,13.9598130690043,376.46537937096,62.4,29,15.1,12.5,10.4
1Q2010,12.6268362472698,384.595897373512,339.289150845537,14.7328993013813,397.921867918884,61.3,31.4,16.9,13.6,12.2
2Q2010,12.4043902328351,380.34807671822,333.311919663591,14.5337997574202,393.433080172061,61.9,29.3,17.3,12.4,12.1
3Q2010,12.415670907673,378.675384141236,333.615036811208,14.3222359732591,387.996215942938,62.4,30.6,17.1,12.4,11.5
4Q2010,12.4600367798503,379.331384879941,334.807169092232,13.9034882293053,376.648835966117,61.2,31.4,15.4,12.3,11.5
1Q2011,12.7941341078487,383.763653581765,341.310139125809,13.5945247468615,363.674903460644,61.6,30.2,16.7,13,11.1
2Q2011,12.9876682028482,385.326860140658,346.473063660838,13.4401110639764,359.936323661685,61,29.1,15.5,13.4,10.1
3Q2011,13.3260785957047,391.392892013062,355.500864783903,13.4308558187916,359.574287915045,72.5,29.3,16.8,13.4,10.3
4Q2011,13.4978589685131,396.184112340315,360.083463531742,13.9562854658605,375.327484962626,72.2,30,18,12.8,10.9
1Q2012,13.4188215536745,400.270650310902,362.614265268852,13.7376972892461,371.852661991308,68.9,29.9,18.5,14,10.8
2Q2012,13.3879655429191,398.680428310799,361.780449152849,13.8700049367931,375.575683493992,65.9,28.6,17.9,14.2,11.2
3Q2012,13.4454912125002,404.678690401156,363.334954392064,13.8885585502971,376.175892548323,56.8,31.8,16.6,12.4,10.7
4Q2012,14.0883968703005,419.812321500639,380.708071830725,14.295153132821,386.343761966378,60.8,33.1,18.5,12.5,11.2
1Q2013,14.4500552322088,425.712070255887,389.973454547465,14.2325347295826,387.575779191178,59.9,31.7,18.9,13.3,12.8
2Q2013,14.3884225726656,421.510682545385,388.310132105525,14.3009865796837,388.126263640599,65.1,29.8,18.3,13.3,11.3
3Q2013,13.9469552228265,410.463144043406,376.39596452797,14.2330353128185,386.014833617426,62.1,30.8,18.2,13.7,11
4Q2013,13.6135433350724,401.612730678511,367.397951193066,14.0967654999199,382.264123550797,63.1,31,18.9,14.5,10.7
1Q2014,13.2321242560029,392.829720701982,357.080649638827,13.8367805250825,375.657530803351,63.4,28.7,17.3,16.5,10
2Q2014,12.9448141894332,390.033406959553,349.327331786484,13.4398743221956,365.228781991931,48,27.4,16.2,16,9.1
3Q2014,12.6159005979877,383.741680628748,340.451305788232,12.9846622596294,353.590971043482,59.8,27.1,16.3,15.1,9.3
4Q2014,12.3277543473838,375.383123552264,332.675422765522,12.46136581101,340.382716161236,52.8,25,14.5,13.9,10.2
1Q2015,12.0837409426622,368.564145841486,325.906226817802,12.1735175651771,332.63716199329,51.3,24,12.7,13,10.1
2Q2015,11.6873619293282,358.935184409762,315.215631145617,11.5310570293842,314.741907886771,56.7,22.7,11.8,12,9.2
3Q2015,11.3821183723531,351.162445208613,306.983017058122,11.3686873841567,311.608717033472,57.3,24.8,12.1,11.7,9.2
4Q2015,10.8165160138533,338.770090684138,291.728359463873,10.8347069353637,297.956213086467,47.6,24,12,10.3,9.3
1Q2016,9.99946438181731,319.288548942043,271.64074964819,10.1472122839655,278.869916888336,42.2,22.5,12.8,9.5,9.2
2Q2016,9.65530780388936,307.739335049422,262.29155380579,9.92310238764751,274.027202017256,35.7,19.3,11.5,9.1,8.5
3Q2016,9.40142901410684,296.73092310364,255.39480192559,9.54429603156149,263.599852749933,,,,,
4Q2016,,,,,,,,,,
,,,,,,,,,,
